*Run#           CRDC#           X/Y          Slope    Y Intercept       X offset 
   88          CRDC1             X         2.50859       -278.504         111.02
   89          CRDC2             X         2.48133       -274.106        110.467
  181          CRDC1             X         2.51424       -279.106         111.01
  182          CRDC2             X         2.47835       -273.655        110.418
  311          CRDC1             X         2.51053       -278.356        110.875
  312          CRDC2             X         2.49267       -275.013        110.329
  351          CRDC1             X         2.51646       -279.169        110.937
  352          CRDC2             X         2.50389       -276.882        110.581
   88          CRDC1             Y       -0.146214        138.324        946.039
   89          CRDC2             Y        0.141679       -138.273        975.958
  181          CRDC1             Y       -0.183109        143.179        781.935
  182          CRDC2             Y        0.171755       -137.843        802.556
  311          CRDC1             Y        -0.18868        137.103        726.641
  312          CRDC2             Y        0.184127        -136.84        743.182
  351          CRDC1             Y       -0.190429        138.426        726.915
  352          CRDC2             Y        0.187908       -138.685        738.044
