Chip Board	Chan Num	Pie
4	16	112
4	17	113
4	18	114
4	19	115
4	20	116
4	21	117
4	22	118
4	23	119
4	24	120
4	25	121
4	26	122
4	27	123
4	28	124
4	29	125
4	30	126
4	31	127
4	0	96
4	1	97
4	2	98
4	3	99
4	4	100
4	5	101
4	6	102
4	7	103
4	8	104
4	9	105
4	10	106
4	11	107
4	12	108
4	13	109
4	14	110
4	15	111
3	16	80
3	17	81
3	18	82
3	19	83
3	20	84
3	21	85
3	22	86
3	23	87
3	24	88
3	25	89
3	26	90
3	27	91
3	28	92
3	29	93
3	30	94
3	31	95
3	0	64
3	1	65
3	2	66
3	3	67
3	4	68
3	5	69
3	6	70
3	7	71
3	8	72
3	9	73
3	10	74
3	11	75
3	12	76
3	13	77
3	14	78
3	15	79
2	16	48
2	17	49
2	18	50
2	19	51
2	20	52
2	21	53
2	22	54
2	23	55
2	24	56
2	25	57
2	26	58
2	27	59
2	28	60
2	29	61
2	30	62
2	31	63
2	0	32
2	1	33
2	2	34
2	3	35
2	4	36
2	5	37
2	6	38
2	7	39
2	8	40
2	9	41
2	10	42
2	11	43
2	12	44
2	13	45
2	14	46
2	15	47
1	16	16
1	17	17
1	18	18
1	19	19
1	20	20
1	21	21
1	22	22
1	23	23
1	24	24
1	25	25
1	26	26
1	27	27
1	28	28
1	29	29
1	30	30
1	31	31
1	0	0
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	15	15
