Chip Board	Chan Num	Pie
4	16	0
4	17	1
4	18	2
4	19	3
4	20	4
4	21	5
4	22	6
4	23	7
4	24	8
4	25	9
4	26	10
4	27	11
4	28	12
4	29	13
4	30	14
4	31	15
4	0	16
4	1	17
4	2	18
4	3	19
4	4	20
4	5	21
4	6	22
4	7	23
4	8	24
4	9	25
4	10	26
4	11	27
4	12	28
4	13	29
4	14	30
4	15	31
3	16	32
3	17	33
3	18	34
3	19	35
3	20	36
3	21	37
3	22	38
3	23	39
3	24	40
3	25	41
3	26	42
3	27	43
3	28	44
3	29	45
3	30	46
3	31	47
3	0	48
3	1	49
3	2	50
3	3	51
3	4	52
3	5	53
3	6	54
3	7	55
3	8	56
3	9	57
3	10	58
3	11	59
3	12	60
3	13	61
3	14	62
3	15	63
2	16	64
2	17	65
2	18	66
2	19	67
2	20	68
2	21	69
2	22	70
2	23	71
2	24	72
2	25	73
2	26	74
2	27	75
2	28	76
2	29	77
2	30	78
2	31	79
2	0	80
2	1	81
2	2	82
2	3	83
2	4	84
2	5	85
2	6	86
2	7	87
2	8	88
2	9	89
2	10	90
2	11	91
2	12	92
2	13	93
2	14	94
2	15	95
1	16	96
1	17	97
1	18	98
1	19	99
1	20	100
1	21	101
1	22	102
1	23	103
1	24	104
1	25	105
1	26	106
1	27	107
1	28	108
1	29	109
1	30	110
1	31	111
1	0	112
1	1	113
1	2	114
1	3	115
1	4	116
1	5	117
1	6	118
1	7	119
1	8	120
1	9	121
1	10	122
1	11	123
1	12	124
1	13	125
1	14	126
1	15	127
