Chip Board	Chan Num	Ring
7	15	0
7	14	2
7	13	4
7	12	6
7	11	8
7	10	10
7	9	12
7	8	14
7	7	16
7	6	18
7	5	20
7	4	22
7	3	24
7	2	26
7	1	28
7	0	30
7	31	32
7	30	34
7	29	36
7	28	38
7	27	40
7	26	42
7	25	44
7	24	46
7	23	48
7	22	50
7	21	52
7	20	54
7	19	56
7	18	58
7	17	60
7	16	62
8	15	64
8	14	66
8	13	68
8	12	70
8	11	72
8	10	74
8	9	76
8	8	78
8	7	80
8	6	82
8	5	84
8	4	86
8	3	88
8	2	90
8	1	92
8	0	94
8	31	96
8	30	98
8	29	100
8	28	102
8	27	104
8	26	106
8	25	108
8	24	110
8	23	112
8	22	114
8	21	116
8	20	118
8	19	120
8	18	122
8	17	124
8	16	126
6	16	1
6	17	3
6	18	5
6	19	7
6	20	9
6	21	11
6	22	13
6	23	15
6	24	17
6	25	19
6	26	21
6	27	23
6	28	25
6	29	27
6	30	29
6	31	31
6	0	33
6	1	35
6	2	37
6	3	39
6	4	41
6	5	43
6	6	45
6	7	47
6	8	49
6	9	51
6	10	53
6	11	55
6	12	57
6	13	59
6	14	61
6	15	63
5	16	65
5	17	67
5	18	69
5	19	71
5	20	73
5	21	75
5	22	77
5	23	79
5	24	81
5	25	83
5	26	85
5	27	87
5	28	89
5	29	91
5	30	93
5	31	95
5	0	97
5	1	99
5	2	101
5	3	103
5	4	105
5	5	107
5	6	109
5	7	111
5	8	113
5	9	115
5	10	117
5	11	119
5	12	121
5	13	123
5	14	125
5	15	127
