Chip Board	Chan Num	Ring
6	31	0
7	0	1
6	30	2
7	1	3
6	29	4
7	2	5
6	28	6
7	3	7
6	27	8
7	4	9
6	26	10
7	5	11
6	25	12
7	6	13
6	24	14
7	7	15
6	23	16
7	8	17
6	22	18
7	9	19
6	21	20
7	10	21
6	20	22
7	11	23
6	19	24
7	12	25
6	18	26
7	13	27
6	17	28
7	14	29
6	16	30
7	15	31
6	15	32
7	16	33
6	14	34
7	17	35
6	13	36
7	18	37
6	12	38
7	19	39
6	11	40
7	20	41
6	10	42
7	21	43
6	9	44
7	22	45
6	8	46
7	23	47
6	7	48
7	24	49
6	6	50
7	25	51
6	5	52
7	26	53
6	4	54
7	27	55
6	3	56
7	28	57
6	2	58
7	29	59
6	1	60
7	30	61
6	0	62
7	31	63
5	31	64
8	0	65
5	30	66
8	1	67
5	29	68
8	2	69
5	28	70
8	3	71
5	27	72
8	4	73
5	26	74
8	5	75
5	25	76
8	6	77
5	24	78
8	7	79
5	23	80
8	8	81
5	22	82
8	9	83
5	21	84
8	10	85
5	20	86
8	11	87
5	19	88
8	12	89
5	18	90
8	13	91
5	17	92
8	14	93
5	16	94
8	15	95
5	15	96
8	16	97
5	14	98
8	17	99
5	13	100
8	18	101
5	12	102
8	19	103
5	11	104
8	20	105
5	10	106
8	21	107
5	9	108
8	22	109
5	8	110
8	23	111
5	7	112
8	24	113
5	6	114
8	25	115
5	5	116
8	26	117
5	4	118
8	27	119
5	3	120
8	28	121
5	2	122
8	29	123
5	1	124
8	30	125
5	0	126
8	31	127
